iter	RMSE
0	60.36111089
1	58.35512762
2	56.41662862
3	54.57966219
4	52.80370405
5	51.10481134
6	49.49191635
7	47.95080707
8	46.49290763
9	45.09011342
10	43.75488006
11	42.48513585
12	41.27079082
13	40.12368345
14	39.02401491
15	37.95421575
16	36.9579501
17	35.9991039
18	35.09552855
19	34.22313635
20	33.4060094
21	32.63491439
22	31.89718723
23	31.21265879
24	30.54998098
25	29.92166923
26	29.32826488
27	28.77688171
28	28.25475867
29	27.76446431
30	27.29591184
31	26.84933484
32	26.42373507
33	26.02435686
34	25.65255722
35	25.30191646
36	24.9751954
37	24.66268413
38	24.36948508
39	24.1046144
40	23.84596872
41	23.60409899
42	23.37554418
43	23.16103683
44	22.96284819
45	22.77657411
46	22.59820636
47	22.43380009
48	22.27799259
49	22.1304246
50	21.99196975
51	21.86450541
52	21.74277121
53	21.62862991
54	21.52486936
55	21.42373883
56	21.3316077
57	21.24351893
58	21.1595639
59	21.08100365
60	21.00975583
61	20.94225221
62	20.88098756
63	20.81909559
64	20.76147725
65	20.70747652
66	20.65450883
67	20.60730656
68	20.56367796
69	20.52240326
70	20.48236852
71	20.44480419
72	20.41147906
73	20.37651537
74	20.34256068
75	20.31158471
76	20.28157556
77	20.25419923
78	20.22866795
79	20.20512657
80	20.18142162
81	20.1579333
82	20.13699879
83	20.11661541
84	20.09663068
85	20.07834092
86	20.06004693
87	20.04267743
88	20.02540986
89	20.01008259
90	19.99501833
91	19.979919
92	19.96573679
93	19.9524444
94	19.93975489
95	19.92881947
96	19.91747185
97	19.90762824
98	19.89714143
99	19.88891035
100	19.87804445
101	19.87004909
102	19.86043057
103	19.85063057
104	19.84172573
105	19.83236823
106	19.82286091
107	19.81630411
108	19.8086539
109	19.8016465
110	19.7941276
111	19.78683386
112	19.77861962
113	19.77158292
114	19.7659091
115	19.75982954
116	19.75153155
117	19.74609785
118	19.74111364
119	19.73519205
120	19.72856832
121	19.72291094
122	19.71776677
123	19.71287761
124	19.70851378
125	19.70304993
126	19.69791307
127	19.69394323
128	19.68855855
129	19.68436056
130	19.6787382
131	19.67508346
132	19.66986253
133	19.6640677
134	19.65942579
135	19.65444229
136	19.65063245
137	19.64580021
138	19.64296988
139	19.63844969
140	19.63420933
141	19.62994674
142	19.62640611
143	19.62193273
144	19.61866305
145	19.61477503
146	19.61067929
147	19.60455199
148	19.5998637
149	19.59583812
150	19.59216092
151	19.58902583
152	19.58501369
153	19.58227053
154	19.57867641
155	19.57533914
156	19.57111582
157	19.56816509
158	19.56433016
159	19.56124013
160	19.55807445
161	19.55495239
162	19.55304922
163	19.55060146
164	19.54835129
165	19.54574415
166	19.54279961
167	19.54031335
168	19.53726394
169	19.53415305
170	19.53138521
171	19.52892743
172	19.52673033
173	19.52402005
174	19.52099221
175	19.51913714
176	19.51624263
177	19.51426782
178	19.51135694
179	19.50923246
180	19.50698251
181	19.50438709
182	19.50183766
183	19.499737
184	19.49734125
185	19.49381595
186	19.49187806
187	19.48900343
188	19.48594069
189	19.4837041
190	19.48194467
191	19.47894292
192	19.47727065
193	19.47471735
194	19.47321865
195	19.47131059
196	19.46942034
197	19.46776217
198	19.46596921
199	19.4635899
200	19.46203943
201	19.4604829
202	19.45792153
203	19.4549964
204	19.45303494
205	19.45118589
206	19.44887138
207	19.44693544
208	19.4449814
209	19.4424376
210	19.44112986
211	19.43875794
212	19.43733239
213	19.43528662
214	19.43341636
215	19.43117053
216	19.42891671
217	19.4263599
218	19.42430218
219	19.42119499
220	19.41902549
221	19.41627771
222	19.4144834
223	19.41199862
224	19.41022521
225	19.40804573
226	19.40647291
227	19.40395575
228	19.40241039
229	19.3997042
230	19.39800239
231	19.39619212
232	19.39478914
233	19.3929039
234	19.39189637
235	19.38998255
236	19.38859274
237	19.38718768
238	19.38490614
239	19.38401302
240	19.38252555
241	19.38028048
242	19.37880201
243	19.37725882
244	19.37540261
245	19.37387642
246	19.37177729
247	19.37027663
248	19.36787773
249	19.36531595
250	19.36353149
251	19.36237037
252	19.36062264
253	19.35917119
254	19.35788748
255	19.35635266
256	19.35470739
257	19.35263339
258	19.35126435
259	19.34915729
260	19.34748618
261	19.34442905
262	19.343489
263	19.34235261
264	19.34087184
265	19.3382291
266	19.3372756
