iter	RMSE
267	19.33435972
268	19.33240722
269	19.33133176
270	19.32974099
271	19.32798341
272	19.32707795
273	19.32559887
274	19.32417483
275	19.32291391
276	19.32144044
277	19.32004956
278	19.31848911
279	19.31752298
280	19.31634835
281	19.31456736
282	19.31348572
283	19.31240855
284	19.31094183
285	19.30815984
286	19.30617661
287	19.30491819
288	19.30315609
289	19.3012891
290	19.30039257
291	19.29939025
292	19.29790545
293	19.29646759
294	19.29495092
295	19.29352891
296	19.29214527
297	19.29013857
298	19.28890039
299	19.28696158
300	19.28579747
301	19.28405093
302	19.28277909
303	19.28127458
304	19.27963007
305	19.27776016
306	19.27526723
307	19.27363425
308	19.27192035
309	19.27030132
310	19.2690025
311	19.26779219
312	19.26645595
313	19.26540597
314	19.26405439
315	19.26209305
316	19.26023247
317	19.25843225
318	19.25736839
319	19.25533852
320	19.25413336
321	19.25274593
322	19.2514665
323	19.24948563
324	19.24826176
325	19.24738737
326	19.24612325
327	19.24463724
328	19.24352537
329	19.24197908
330	19.24054827
331	19.23915546
332	19.23770469
333	19.23589191
334	19.234214
335	19.23315053
336	19.23154338
337	19.2303829
338	19.22848945
339	19.22703445
340	19.22488418
341	19.22407126
342	19.22276311
343	19.22154465
344	19.22042614
345	19.21848453
346	19.21751176
347	19.21618318
348	19.21467978
349	19.21290533
